mayor,byte_length
Linda Marlene Eales,3331
Ron Black,3326
Linda Marlene Eales,3333
ABSTAIN,3306
Andy Mitchell,3330
Ron Black,3325
Linda Marlene Eales,3334
Ron Black,3327
Andy Mitchell,3332
Ron Black,3326
Ron Black,3327
Ron Black,3325
ABSTAIN,3308
Andy Mitchell,3329
Linda Marlene Eales,3333
Ron Black,3327
ABSTAIN,3305
Andy Mitchell,3331
Ron Black,3325
Andy Mitchell,3331
ABSTAIN,3306
ABSTAIN,3307
ABSTAIN,3307
Linda Marlene Eales,3334
Linda Marlene Eales,3334
Linda Marlene Eales,3331
Linda Marlene Eales,3337
Linda Marlene Eales,3331
Andy Mitchell,3331
Andy Mitchell,3330
Ron Black,3325
Andy Mitchell,3329
Ron Black,3325
Ron Black,3323
ABSTAIN,3305
ABSTAIN,3308
Andy Mitchell,3329
Ron Black,3329
Andy Mitchell,3329
Linda Marlene Eales,3335
ABSTAIN,3309
Linda Marlene Eales,3336
Ron Black,3326
Linda Marlene Eales,3335
Linda Marlene Eales,3333
Andy Mitchell,3327
Andy Mitchell,3330
Linda Marlene Eales,3332
Andy Mitchell,3329
ABSTAIN,3308
Ron Black,3325
Linda Marlene Eales,3334
ABSTAIN,3307
Andy Mitchell,3330
Linda Marlene Eales,3333
Linda Marlene Eales,3333
ABSTAIN,3308
ABSTAIN,3306
Linda Marlene Eales,3335
ABSTAIN,3307
Linda Marlene Eales,3334
Linda Marlene Eales,3336
Andy Mitchell,3331
Andy Mitchell,3330
Andy Mitchell,3330
ABSTAIN,3306
ABSTAIN,3306
ABSTAIN,3306
ABSTAIN,3307
ABSTAIN,3306
Ron Black,3324
Ron Black,3326
Andy Mitchell,3326
Linda Marlene Eales,3331
Andy Mitchell,3326
Ron Black,3325
Ron Black,3326
Linda Marlene Eales,3335
Linda Marlene Eales,3336
Ron Black,3327
Andy Mitchell,3330
Andy Mitchell,3330
Linda Marlene Eales,3335
Linda Marlene Eales,3333
Linda Marlene Eales,3333
Ron Black,3327
Ron Black,3326
ABSTAIN,3308
ABSTAIN,3306
Ron Black,3327
ABSTAIN,3306
Linda Marlene Eales,3335
Linda Marlene Eales,3333
Linda Marlene Eales,3333
Ron Black,3327
Linda Marlene Eales,3330
Ron Black,3326
Ron Black,3325
Linda Marlene Eales,3333
Ron Black,3327
Ron Black,3329
ABSTAIN,3307
Linda Marlene Eales,3337
Linda Marlene Eales,3334
Linda Marlene Eales,3330
Andy Mitchell,3331
Ron Black,3325
ABSTAIN,3307
Ron Black,3327
Linda Marlene Eales,3333
ABSTAIN,3307
ABSTAIN,3307
Ron Black,3325
Linda Marlene Eales,3331
ABSTAIN,3303
Andy Mitchell,3331
ABSTAIN,3306
Ron Black,3328
ABSTAIN,3307
Ron Black,3329
Ron Black,3326
Linda Marlene Eales,3332
Andy Mitchell,3326
Linda Marlene Eales,3335
ABSTAIN,3306
Andy Mitchell,3329
ABSTAIN,3305
Ron Black,3326
Andy Mitchell,3329
ABSTAIN,3304
ABSTAIN,3308
ABSTAIN,3308
Andy Mitchell,3329
ABSTAIN,3306
Andy Mitchell,3329
Ron Black,3326
Linda Marlene Eales,3332
Ron Black,3324
Andy Mitchell,3328
Linda Marlene Eales,3335
Linda Marlene Eales,3334
Linda Marlene Eales,3333
Linda Marlene Eales,3333
ABSTAIN,3307
Ron Black,3325
ABSTAIN,3305
Linda Marlene Eales,3334
Linda Marlene Eales,3331
Linda Marlene Eales,3335
ABSTAIN,3305
Andy Mitchell,3328
Andy Mitchell,3330
Andy Mitchell,3327
Andy Mitchell,3326
Ron Black,3326
Linda Marlene Eales,3330
Ron Black,3325
Ron Black,3324
Andy Mitchell,3327
Andy Mitchell,3328
Ron Black,3326
Andy Mitchell,3330
Ron Black,3327
Andy Mitchell,3328
Ron Black,3327
Ron Black,3326
Linda Marlene Eales,3331
Ron Black,3327
ABSTAIN,3308
ABSTAIN,3307
Linda Marlene Eales,3334
Andy Mitchell,3330
Andy Mitchell,3331
ABSTAIN,3307
Ron Black,3322
ABSTAIN,3306
Andy Mitchell,3328
ABSTAIN,3307
Ron Black,3326
Linda Marlene Eales,3334
Ron Black,3324
Andy Mitchell,3330
Ron Black,3324
Linda Marlene Eales,3329
Andy Mitchell,3327
Linda Marlene Eales,3333
Ron Black,3324
Ron Black,3324
Linda Marlene Eales,3331
Ron Black,3324
Ron Black,3326
Linda Marlene Eales,3330
Ron Black,3323
Ron Black,3326
Linda Marlene Eales,3333
ABSTAIN,3306
Ron Black,3328
ABSTAIN,3308
ABSTAIN,3305
Andy Mitchell,3330
ABSTAIN,3307
Linda Marlene Eales,3332
Ron Black,3326
Ron Black,3325
Andy Mitchell,3332
Linda Marlene Eales,3333
Ron Black,3325
Andy Mitchell,3330
Linda Marlene Eales,3334
ABSTAIN,3307
ABSTAIN,3307
Linda Marlene Eales,3334
Ron Black,3323
ABSTAIN,3308
Linda Marlene Eales,3331
ABSTAIN,3307
Ron Black,3328
Andy Mitchell,3329
ABSTAIN,3307
Ron Black,3326
Ron Black,3325
ABSTAIN,3306
ABSTAIN,3304
Linda Marlene Eales,3331
ABSTAIN,3307
Ron Black,3326
ABSTAIN,3307
Linda Marlene Eales,3330
Linda Marlene Eales,3331
Ron Black,3326
Ron Black,3324
ABSTAIN,3305
Andy Mitchell,3328
Andy Mitchell,3326
Andy Mitchell,3329
ABSTAIN,3307
Ron Black,3327
Linda Marlene Eales,3334
Linda Marlene Eales,3333
Ron Black,3325
Ron Black,3326
Andy Mitchell,3329
Linda Marlene Eales,3337
Linda Marlene Eales,3334
Linda Marlene Eales,3332
Andy Mitchell,3328
Linda Marlene Eales,3328
Linda Marlene Eales,3333
Linda Marlene Eales,3331
ABSTAIN,3305
Linda Marlene Eales,3332
Ron Black,3328
Andy Mitchell,3328
Linda Marlene Eales,3333
Ron Black,3325
Linda Marlene Eales,3334
Andy Mitchell,3334
Andy Mitchell,3329
Linda Marlene Eales,3329
ABSTAIN,3305
ABSTAIN,3306
Linda Marlene Eales,3334
ABSTAIN,3307
ABSTAIN,3309
ABSTAIN,3310
Andy Mitchell,3330
ABSTAIN,3305
Linda Marlene Eales,3330
ABSTAIN,3306
ABSTAIN,3308
ABSTAIN,3308
ABSTAIN,3306
ABSTAIN,3304
ABSTAIN,3307
Andy Mitchell,3329
Ron Black,3325
Linda Marlene Eales,3334
Linda Marlene Eales,3334
Ron Black,3326
Ron Black,3327
Ron Black,3329
Andy Mitchell,3328
Ron Black,3328
ABSTAIN,3308
Ron Black,3328
Ron Black,3324
Ron Black,3325
ABSTAIN,3305
ABSTAIN,3307
Ron Black,3326
Andy Mitchell,3329
Ron Black,3328
Andy Mitchell,3329
Linda Marlene Eales,3330
Linda Marlene Eales,3329
Ron Black,3328
Andy Mitchell,3329
Ron Black,3324
Andy Mitchell,3329
ABSTAIN,3307
Ron Black,3326
Linda Marlene Eales,3330
Ron Black,3326
ABSTAIN,3308
ABSTAIN,3309
Ron Black,3323
Linda Marlene Eales,3333
Andy Mitchell,3331
Andy Mitchell,3329
ABSTAIN,3307
Ron Black,3327
Linda Marlene Eales,3334
Andy Mitchell,3328
Andy Mitchell,3331
Ron Black,3325
ABSTAIN,3305
Andy Mitchell,3331
Andy Mitchell,3331
Andy Mitchell,3331
Ron Black,3326
Ron Black,3324
Linda Marlene Eales,3334
ABSTAIN,3308
ABSTAIN,3308
Ron Black,3328
Ron Black,3327
Linda Marlene Eales,3334
Ron Black,3326
Andy Mitchell,3333
ABSTAIN,3307
ABSTAIN,3308
Linda Marlene Eales,3335
ABSTAIN,3309
Ron Black,3327
Linda Marlene Eales,3335
ABSTAIN,3307
Andy Mitchell,3328
Ron Black,3324
Linda Marlene Eales,3331
Linda Marlene Eales,3335
Ron Black,3327
Andy Mitchell,3329
Andy Mitchell,3326
Linda Marlene Eales,3330
ABSTAIN,3307
Linda Marlene Eales,3331
Ron Black,3326
ABSTAIN,3305
Ron Black,3326
ABSTAIN,3307
Ron Black,3325
Ron Black,3324
Linda Marlene Eales,3335
Linda Marlene Eales,3331
Andy Mitchell,3330
Andy Mitchell,3330
Ron Black,3329
Linda Marlene Eales,3334
Linda Marlene Eales,3334
Andy Mitchell,3330
Linda Marlene Eales,3335
Linda Marlene Eales,3333
Andy Mitchell,3331
Ron Black,3328
Linda Marlene Eales,3335
Linda Marlene Eales,3331
Andy Mitchell,3333
Andy Mitchell,3328
Ron Black,3325
Andy Mitchell,3328
Linda Marlene Eales,3336
ABSTAIN,3306
Andy Mitchell,3330
Andy Mitchell,3331
Linda Marlene Eales,3332
ABSTAIN,3306
Linda Marlene Eales,3334
ABSTAIN,3306
Andy Mitchell,3330
Ron Black,3325
Ron Black,3325
Ron Black,3325
Andy Mitchell,3325
Linda Marlene Eales,3333
Linda Marlene Eales,3331
Andy Mitchell,3328
Andy Mitchell,3330
Linda Marlene Eales,3330
Ron Black,3328
Andy Mitchell,3328
ABSTAIN,3305
Linda Marlene Eales,3333
ABSTAIN,3307
Ron Black,3324
Ron Black,3325
Ron Black,3325
ABSTAIN,3304
ABSTAIN,3304
ABSTAIN,3306
Linda Marlene Eales,3334
Ron Black,3326
Ron Black,3329
Ron Black,3325
Ron Black,3325
Linda Marlene Eales,3332
Ron Black,3327
Ron Black,3325
ABSTAIN,3304
Linda Marlene Eales,3333
Linda Marlene Eales,3334
Ron Black,3323
ABSTAIN,3306
Linda Marlene Eales,3332
Ron Black,3324
Ron Black,3326
Andy Mitchell,3327
Linda Marlene Eales,3333
Linda Marlene Eales,3333
ABSTAIN,3309
ABSTAIN,3307
ABSTAIN,3305
ABSTAIN,3306
Ron Black,3325
Ron Black,3325
Andy Mitchell,3330
ABSTAIN,3307
Andy Mitchell,3326
Linda Marlene Eales,3334
Ron Black,3325
Andy Mitchell,3330
Ron Black,3327
ABSTAIN,3306
Ron Black,3325
ABSTAIN,3306
Linda Marlene Eales,3334
Linda Marlene Eales,3334
Andy Mitchell,3328
Linda Marlene Eales,3336
Ron Black,3327
Andy Mitchell,3331
Ron Black,3324
Linda Marlene Eales,3333
Linda Marlene Eales,3333
Ron Black,3324
Andy Mitchell,3327
Linda Marlene Eales,3332
ABSTAIN,3305
Linda Marlene Eales,3332
ABSTAIN,3306
Andy Mitchell,3328
Linda Marlene Eales,3331
ABSTAIN,3305
Ron Black,3325
Andy Mitchell,3330
ABSTAIN,3305
Linda Marlene Eales,3332
Ron Black,3327
Ron Black,3322
Andy Mitchell,3330
ABSTAIN,3304
Linda Marlene Eales,3330
ABSTAIN,3305
ABSTAIN,3305
Andy Mitchell,3330
Andy Mitchell,3330
Andy Mitchell,3331
Ron Black,3324
Linda Marlene Eales,3333
Ron Black,3323
Ron Black,3325
Andy Mitchell,3330
Andy Mitchell,3330
ABSTAIN,3305
ABSTAIN,3306
Andy Mitchell,3330
Ron Black,3326
Andy Mitchell,3331
Linda Marlene Eales,3333
Andy Mitchell,3328
Andy Mitchell,3329
Andy Mitchell,3328
ABSTAIN,3305
Ron Black,3323
Linda Marlene Eales,3332
Ron Black,3326
Andy Mitchell,3330
Andy Mitchell,3328
ABSTAIN,3308
Ron Black,3325
Linda Marlene Eales,3331
Ron Black,3327
Linda Marlene Eales,3332
ABSTAIN,3307
ABSTAIN,3306
Andy Mitchell,3329
Andy Mitchell,3328
ABSTAIN,3306
Andy Mitchell,3328
Ron Black,3323
Ron Black,3326
Linda Marlene Eales,3330
Andy Mitchell,3330
ABSTAIN,3303
ABSTAIN,3308
Linda Marlene Eales,3332
ABSTAIN,3305
ABSTAIN,3305
Ron Black,3322
Andy Mitchell,3330
ABSTAIN,3307
Linda Marlene Eales,3335
Andy Mitchell,3327
Andy Mitchell,3330
Andy Mitchell,3329
Andy Mitchell,3328
Linda Marlene Eales,3331
Ron Black,3326
Linda Marlene Eales,3333
Ron Black,3327
Ron Black,3326
Andy Mitchell,3327
Ron Black,3327
ABSTAIN,3306
Ron Black,3321
Ron Black,3324
ABSTAIN,3304
Linda Marlene Eales,3330
ABSTAIN,3308
ABSTAIN,3303
Ron Black,3327
ABSTAIN,3308
ABSTAIN,3307
Linda Marlene Eales,3334
ABSTAIN,3305
ABSTAIN,3307
Andy Mitchell,3324
ABSTAIN,3306
Linda Marlene Eales,3332
Andy Mitchell,3327
Ron Black,3324
Linda Marlene Eales,3333
Ron Black,3326
ABSTAIN,3306
Andy Mitchell,3329
Linda Marlene Eales,3333
ABSTAIN,3305
Ron Black,3326
ABSTAIN,3307
Linda Marlene Eales,3331
Andy Mitchell,3329
Linda Marlene Eales,3331
Linda Marlene Eales,3332
Linda Marlene Eales,3330
Andy Mitchell,3329
ABSTAIN,3306
Ron Black,3325
Linda Marlene Eales,3331
ABSTAIN,3303
Andy Mitchell,3329
Ron Black,3323
Linda Marlene Eales,3330
Andy Mitchell,3326
Andy Mitchell,3329
ABSTAIN,3303
ABSTAIN,3305
ABSTAIN,3306
Andy Mitchell,3327
Linda Marlene Eales,3332
Linda Marlene Eales,3331
ABSTAIN,3306
Ron Black,3325
Linda Marlene Eales,3331
Linda Marlene Eales,3333
ABSTAIN,3304
Andy Mitchell,3328
Ron Black,3323
Andy Mitchell,3328
ABSTAIN,3306
ABSTAIN,3304
Linda Marlene Eales,3332
Ron Black,3328
Linda Marlene Eales,3331
ABSTAIN,3307
Ron Black,3322
Andy Mitchell,3331
Ron Black,3324
ABSTAIN,3305
Andy Mitchell,3329
Ron Black,3326
Ron Black,3327
Andy Mitchell,3330
ABSTAIN,3301
Linda Marlene Eales,3331
Linda Marlene Eales,3331
Ron Black,3325
Linda Marlene Eales,3334
Ron Black,3327
ABSTAIN,3307
Ron Black,3324
Linda Marlene Eales,3334
Ron Black,3326
ABSTAIN,3306
Andy Mitchell,3324
Linda Marlene Eales,3331
Andy Mitchell,3329
Linda Marlene Eales,3330
ABSTAIN,3303
ABSTAIN,3306
Linda Marlene Eales,3332
ABSTAIN,3302
Ron Black,3325
ABSTAIN,3302
Andy Mitchell,3329
Andy Mitchell,3328
Andy Mitchell,3326
Ron Black,3325
Andy Mitchell,3328
ABSTAIN,3303
Andy Mitchell,3329
ABSTAIN,3302
Andy Mitchell,3330
Ron Black,3325
Linda Marlene Eales,3334
Andy Mitchell,3329
Linda Marlene Eales,3332
Ron Black,3324
Andy Mitchell,3329
ABSTAIN,3306
Andy Mitchell,3327
ABSTAIN,3304
Ron Black,3325
Andy Mitchell,3328
Andy Mitchell,3326
Ron Black,3327
Andy Mitchell,3325
ABSTAIN,3305
Linda Marlene Eales,3332
ABSTAIN,3305
Linda Marlene Eales,3329
Linda Marlene Eales,3331
Ron Black,3321
Andy Mitchell,3328
Ron Black,3322
Ron Black,3327
Linda Marlene Eales,3332
Andy Mitchell,3329
ABSTAIN,3307
Linda Marlene Eales,3333
Linda Marlene Eales,3334
Andy Mitchell,3329
ABSTAIN,3308
Linda Marlene Eales,3332
ABSTAIN,3307
Andy Mitchell,3331
Linda Marlene Eales,3334
Andy Mitchell,3328
Linda Marlene Eales,3333
Andy Mitchell,3327
ABSTAIN,3308
Ron Black,3327
ABSTAIN,3306
Linda Marlene Eales,3334
ABSTAIN,3306
Linda Marlene Eales,3333
ABSTAIN,3310
ABSTAIN,3305
Ron Black,3326
Andy Mitchell,3330
Linda Marlene Eales,3333
Linda Marlene Eales,3335
Linda Marlene Eales,3334
ABSTAIN,3306
Linda Marlene Eales,3331
Andy Mitchell,3330
Linda Marlene Eales,3334
Ron Black,3326
Linda Marlene Eales,3334
Ron Black,3326
Andy Mitchell,3327
Ron Black,3325
ABSTAIN,3308
Andy Mitchell,3328
ABSTAIN,3306
ABSTAIN,3305
Linda Marlene Eales,3335
Linda Marlene Eales,3332
Andy Mitchell,3331
ABSTAIN,3308
Linda Marlene Eales,3334
Andy Mitchell,3332
ABSTAIN,3306
Linda Marlene Eales,3334
Andy Mitchell,3331
Ron Black,3328
Andy Mitchell,3328
ABSTAIN,3305
Ron Black,3324
Linda Marlene Eales,3336
Ron Black,3326
ABSTAIN,3307
ABSTAIN,3307
Linda Marlene Eales,3333
Ron Black,3327
Linda Marlene Eales,3333
Ron Black,3325
Linda Marlene Eales,3337
Ron Black,3326
ABSTAIN,3307
Andy Mitchell,3333
Linda Marlene Eales,3335
Ron Black,3328
Ron Black,3327
Andy Mitchell,3330
ABSTAIN,3309
Ron Black,3326
Ron Black,3327
Linda Marlene Eales,3332
Andy Mitchell,3328
Andy Mitchell,3327
ABSTAIN,3308
ABSTAIN,3306
Linda Marlene Eales,3333
Linda Marlene Eales,3333
Linda Marlene Eales,3335
ABSTAIN,3306
ABSTAIN,3306
Andy Mitchell,3328
ABSTAIN,3307
ABSTAIN,3307
ABSTAIN,3307
Andy Mitchell,3329
ABSTAIN,3307
Ron Black,3328
Linda Marlene Eales,3334
ABSTAIN,3306
Linda Marlene Eales,3331
Linda Marlene Eales,3335
Ron Black,3328
ABSTAIN,3308
Ron Black,3327
Andy Mitchell,3327
Ron Black,3326
Ron Black,3329
ABSTAIN,3307
Andy Mitchell,3330
Ron Black,3328
Ron Black,3328
Linda Marlene Eales,3333
Andy Mitchell,3330
ABSTAIN,3308
Andy Mitchell,3328
Linda Marlene Eales,3335
Ron Black,3328
Linda Marlene Eales,3335
ABSTAIN,3309
Andy Mitchell,3329
Linda Marlene Eales,3333
ABSTAIN,3309
Linda Marlene Eales,3335
Linda Marlene Eales,3335
Linda Marlene Eales,3333
Ron Black,3327
Andy Mitchell,3330
ABSTAIN,3306
ABSTAIN,3310
Linda Marlene Eales,3331
Linda Marlene Eales,3332
ABSTAIN,3307
Andy Mitchell,3329
Ron Black,3326
Linda Marlene Eales,3331
ABSTAIN,3307
Andy Mitchell,3328
Linda Marlene Eales,3332
ABSTAIN,3309
ABSTAIN,3309
ABSTAIN,3306
ABSTAIN,3307
Andy Mitchell,3328
Andy Mitchell,3330
Linda Marlene Eales,3334
Ron Black,3325
ABSTAIN,3306
ABSTAIN,3305
Ron Black,3328
Ron Black,3326
Linda Marlene Eales,3332
Ron Black,3326
Linda Marlene Eales,3336
ABSTAIN,3308
Andy Mitchell,3331
ABSTAIN,3307
Linda Marlene Eales,3333
Andy Mitchell,3329
ABSTAIN,3304
Andy Mitchell,3329
Ron Black,3328
Ron Black,3327
Linda Marlene Eales,3333
ABSTAIN,3307
Linda Marlene Eales,3332
Ron Black,3325
ABSTAIN,3305
Ron Black,3325
Linda Marlene Eales,3334
ABSTAIN,3304
Ron Black,3326
ABSTAIN,3308
ABSTAIN,3306
ABSTAIN,3309
ABSTAIN,3307
Andy Mitchell,3330
Ron Black,3327
Ron Black,3324
ABSTAIN,3304
Linda Marlene Eales,3334
Andy Mitchell,3326
Andy Mitchell,3323
Linda Marlene Eales,3335
ABSTAIN,3307
Andy Mitchell,3329
Andy Mitchell,3329
Linda Marlene Eales,3335
ABSTAIN,3307
Ron Black,3327
Linda Marlene Eales,3336
Andy Mitchell,3330
Ron Black,3328
Ron Black,3327
Andy Mitchell,3331
Ron Black,3323
ABSTAIN,3307
Linda Marlene Eales,3335
Andy Mitchell,3328
Linda Marlene Eales,3332
Ron Black,3328
Linda Marlene Eales,3335
Linda Marlene Eales,3332
Andy Mitchell,3328
Andy Mitchell,3333
ABSTAIN,3308
Ron Black,3328
ABSTAIN,3308
Linda Marlene Eales,3333
Ron Black,3329
Ron Black,3329
ABSTAIN,3306
Andy Mitchell,3329
Linda Marlene Eales,3333
Ron Black,3326
ABSTAIN,3305
Linda Marlene Eales,3336
Andy Mitchell,3328
Linda Marlene Eales,3334
ABSTAIN,3309
Ron Black,3327
Andy Mitchell,3331
Linda Marlene Eales,3331
Andy Mitchell,3328
Ron Black,3328
Linda Marlene Eales,3334
Linda Marlene Eales,3334
ABSTAIN,3306
Andy Mitchell,3331
Linda Marlene Eales,3333
ABSTAIN,3306
Andy Mitchell,3329
Ron Black,3324
Linda Marlene Eales,3335
Andy Mitchell,3329
Ron Black,3326
Ron Black,3325
Andy Mitchell,3329
ABSTAIN,3308
Ron Black,3325
Linda Marlene Eales,3333
ABSTAIN,3305
Andy Mitchell,3328
ABSTAIN,3309
Linda Marlene Eales,3334
Linda Marlene Eales,3335
Linda Marlene Eales,3332
Linda Marlene Eales,3332
Linda Marlene Eales,3333
Andy Mitchell,3327
ABSTAIN,3305
Andy Mitchell,3331
Andy Mitchell,3328
ABSTAIN,3303
Ron Black,3325
ABSTAIN,3307
ABSTAIN,3306
Linda Marlene Eales,3332
Linda Marlene Eales,3333
ABSTAIN,3307
Linda Marlene Eales,3333
Andy Mitchell,3326
Linda Marlene Eales,3334
Ron Black,3324
Ron Black,3326
Linda Marlene Eales,3332
Andy Mitchell,3325
Ron Black,3327
ABSTAIN,3304
Ron Black,3328
Ron Black,3326
ABSTAIN,3307
ABSTAIN,3305
Ron Black,3321
Linda Marlene Eales,3331
Ron Black,3322
Ron Black,3328
Andy Mitchell,3328
ABSTAIN,3306
Andy Mitchell,3331
Andy Mitchell,3331
Linda Marlene Eales,3333
Ron Black,3328
Linda Marlene Eales,3335
Linda Marlene Eales,3332
ABSTAIN,3307
Andy Mitchell,3327
Andy Mitchell,3330
Andy Mitchell,3329
Linda Marlene Eales,3333
ABSTAIN,3306
Linda Marlene Eales,3334
Andy Mitchell,3328
ABSTAIN,3306
Linda Marlene Eales,3332
Andy Mitchell,3331
Linda Marlene Eales,3333
Linda Marlene Eales,3332
Andy Mitchell,3333
ABSTAIN,3308
Linda Marlene Eales,3332
Ron Black,3326
Linda Marlene Eales,3333
Linda Marlene Eales,3331
ABSTAIN,3307
Ron Black,3325
Linda Marlene Eales,3332
Linda Marlene Eales,3333
Andy Mitchell,3329
Ron Black,3327
Linda Marlene Eales,3331
Ron Black,3326
Linda Marlene Eales,3335
ABSTAIN,3304
Linda Marlene Eales,3330
Ron Black,3324
Andy Mitchell,3331
Linda Marlene Eales,3334
Ron Black,3328
Andy Mitchell,3328
ABSTAIN,3305
ABSTAIN,3306
Andy Mitchell,3331
Andy Mitchell,3330
ABSTAIN,3307
Andy Mitchell,3333
ABSTAIN,3310
ABSTAIN,3309
Linda Marlene Eales,3335
Linda Marlene Eales,3331
Andy Mitchell,3330
Ron Black,3326
ABSTAIN,3305
Linda Marlene Eales,3336
Ron Black,3325
ABSTAIN,3307
ABSTAIN,3306
ABSTAIN,3308
Ron Black,3328
Andy Mitchell,3326
Andy Mitchell,3332
Linda Marlene Eales,3333
Ron Black,3326
Linda Marlene Eales,3337
Linda Marlene Eales,3335
ABSTAIN,3309
Andy Mitchell,3329
Ron Black,3325
Andy Mitchell,3330
Andy Mitchell,3331
Ron Black,3325
Andy Mitchell,3330
ABSTAIN,3308
ABSTAIN,3306
Andy Mitchell,3329
Andy Mitchell,3328
Andy Mitchell,3329
Linda Marlene Eales,3330
ABSTAIN,3307
Andy Mitchell,3329
Ron Black,3327
Ron Black,3326
ABSTAIN,3306
Andy Mitchell,3329
ABSTAIN,3306
ABSTAIN,3307
Ron Black,3325
Linda Marlene Eales,3332
Linda Marlene Eales,3335
Ron Black,3331
Ron Black,3325
ABSTAIN,3305
Linda Marlene Eales,3334
ABSTAIN,3303
ABSTAIN,3308
Linda Marlene Eales,3333
Andy Mitchell,3331
Andy Mitchell,3331
Linda Marlene Eales,3335
Andy Mitchell,3329
Ron Black,3325
ABSTAIN,3306
Andy Mitchell,3331
ABSTAIN,3306
Andy Mitchell,3332
Linda Marlene Eales,3334
Linda Marlene Eales,3331
Ron Black,3328
Linda Marlene Eales,3332
Linda Marlene Eales,3337
Linda Marlene Eales,3335
Ron Black,3325
Ron Black,3330
Ron Black,3328
ABSTAIN,3309
Linda Marlene Eales,3334
Linda Marlene Eales,3329
Ron Black,3329
Ron Black,3326
Andy Mitchell,3328
Linda Marlene Eales,3332
Ron Black,3324
ABSTAIN,3306
Linda Marlene Eales,3333
Andy Mitchell,3326
Linda Marlene Eales,3332
Andy Mitchell,3328
ABSTAIN,3307
Andy Mitchell,3323
ABSTAIN,3308
Andy Mitchell,3329
Andy Mitchell,3330
ABSTAIN,3307
ABSTAIN,3306
ABSTAIN,3308
Andy Mitchell,3330
Ron Black,3324
Ron Black,3327
Ron Black,3325
Ron Black,3327
Ron Black,3325
Linda Marlene Eales,3334
Ron Black,3325
Andy Mitchell,3329
Ron Black,3325
ABSTAIN,3307
Linda Marlene Eales,3335
Linda Marlene Eales,3335
Andy Mitchell,3327
ABSTAIN,3304
ABSTAIN,3308
Andy Mitchell,3331
Ron Black,3324
Andy Mitchell,3331
Linda Marlene Eales,3334
Ron Black,3325
Andy Mitchell,3333
Linda Marlene Eales,3332
Ron Black,3325
ABSTAIN,3307
Linda Marlene Eales,3331
ABSTAIN,3306
ABSTAIN,3306
Andy Mitchell,3330
Ron Black,3329
ABSTAIN,3305
Linda Marlene Eales,3334
Linda Marlene Eales,3334
Andy Mitchell,3329
Andy Mitchell,3327
Linda Marlene Eales,3330
Andy Mitchell,3328
Ron Black,3326
ABSTAIN,3306
Ron Black,3327
Linda Marlene Eales,3333
Linda Marlene Eales,3335
ABSTAIN,3303
Andy Mitchell,3330
Ron Black,3327
ABSTAIN,3308
ABSTAIN,3306
ABSTAIN,3306
Ron Black,3325
Linda Marlene Eales,3332
Linda Marlene Eales,3333
ABSTAIN,3305
Ron Black,3327
Linda Marlene Eales,3335
ABSTAIN,3308
Linda Marlene Eales,3335
Andy Mitchell,3329
ABSTAIN,3309
Ron Black,3326
Andy Mitchell,3329
Andy Mitchell,3331
ABSTAIN,3306
Linda Marlene Eales,3334
Linda Marlene Eales,3335
Andy Mitchell,3328
ABSTAIN,3307
Ron Black,3329
ABSTAIN,3311
ABSTAIN,3306
Ron Black,3326
Linda Marlene Eales,3330
ABSTAIN,3303
Andy Mitchell,3328
Linda Marlene Eales,3333
Ron Black,3322
Andy Mitchell,3330
Andy Mitchell,3327
Linda Marlene Eales,3335
Andy Mitchell,3327
ABSTAIN,3305
Andy Mitchell,3327
Ron Black,3325
Andy Mitchell,3328
Andy Mitchell,3329
Linda Marlene Eales,3333
Ron Black,3324
Andy Mitchell,3328
Linda Marlene Eales,3331
Andy Mitchell,3331
ABSTAIN,3305
ABSTAIN,3306
Ron Black,3326
Andy Mitchell,3329
Andy Mitchell,3329
Andy Mitchell,3329
ABSTAIN,3305
Linda Marlene Eales,3333
Andy Mitchell,3328
Linda Marlene Eales,3334
Andy Mitchell,3331
ABSTAIN,3305
Andy Mitchell,3329
Andy Mitchell,3331
Linda Marlene Eales,3331
Linda Marlene Eales,3333
Ron Black,3324
ABSTAIN,3308
Andy Mitchell,3330
ABSTAIN,3306
Ron Black,3326
Ron Black,3322
Andy Mitchell,3331
Ron Black,3323
ABSTAIN,3303
ABSTAIN,3306
Ron Black,3326
Linda Marlene Eales,3336
Linda Marlene Eales,3333
ABSTAIN,3308
ABSTAIN,3306
Linda Marlene Eales,3334
Ron Black,3327
Linda Marlene Eales,3335
Andy Mitchell,3332
Andy Mitchell,3331
Andy Mitchell,3332
Linda Marlene Eales,3335
Linda Marlene Eales,3335
Ron Black,3329
ABSTAIN,3304
Andy Mitchell,3328
ABSTAIN,3311
Ron Black,3325
Andy Mitchell,3332
ABSTAIN,3307
ABSTAIN,3308
ABSTAIN,3306
Linda Marlene Eales,3332
Andy Mitchell,3323
Linda Marlene Eales,3333
Andy Mitchell,3330
Ron Black,3327
Ron Black,3326
Andy Mitchell,3329
ABSTAIN,3309
Andy Mitchell,3329
Andy Mitchell,3332
Ron Black,3325
Andy Mitchell,3331
Andy Mitchell,3330
Linda Marlene Eales,3333
ABSTAIN,3304
Ron Black,3324
Linda Marlene Eales,3333
ABSTAIN,3304
ABSTAIN,3306
Linda Marlene Eales,3334
ABSTAIN,3308
Andy Mitchell,3331
Linda Marlene Eales,3334
Ron Black,3325
Ron Black,3328
